Final annotation,Text,English Translation
Stereotype,মেয়েরা ভুল করলে সেটা স্বীকার না করে আবেগ দেখায়,"When girls make mistakes, they do not admit them; they show emotion instead."
Derogation,বুড়ি বয়সেও তরুণ সাজার চেষ্টা করে লজ্জাই লাগে না,"Even at an old age, she tries to act young; she has no shame."
Sexual Harassment,"মেয়েটাকে এক রাতের জন্য চাই, যত টাকা লাগবে দিতে রাজি আছি",I want the girl for one night; I am willing to pay whatever it costs.
Non Misogynistic,মেয়েটার পরিশ্রম দেখে মুগ্ধ হলাম,I was impressed by the girl’s hard work.
Non Misogynistic,ঐ মহিলা কোচ দলটাকে যেভাবে তৈরি করেছেন অবিশ্বাস্য,The way that female coach has prepared the team is unbelievable.
Stereotype,"মেয়েরা বিতর্কে নামলে যুক্তি কম, কথা বেশি।","When girls enter debates, they have less logic and more talk."
Sexual Harassment,এই আপুকে ধরে গণচোদন করানো যাবে,This apu can be grabbed and gang-raped.
Derogation,মেয়েটার সাথে কাজ করা মানে মাথাব্যথা সহ্য করা।,Working with the girl means enduring a headache.
Derogation,"মেয়েটা একদম অকর্মা, সবকিছু গড়বড় করে ফেলে",The girl is completely useless; she messes everything up.
Sexual Harassment,"আপু আমার সাথে রুম ডেট করো, কেউ জানবে না","Apu, have a room date with me; no one will know."
Derogation,এই মেয়ে নিজেকে মনে করে রাজকন্যা অথচ আচরণে রাস্তার মেয়ে,"This girl thinks of herself as a princess, but her behavior is like a street girl’s."
Stereotype,সম্পর্ক ভাঙ্গনে মেয়েদের দোষই বেশি থাকে,Girls are mostly to blame for relationship breakups.
Sexual Harassment,"নর্তকী যত টাকা চাও দিতে রাজি, শুধু একবার আবাসিক হোটেলে আসো আমার সাথে","Dancer, I am willing to pay whatever you want; just come with me to a residential hotel once."
Non Misogynistic,নারীর সিদ্ধান্তগ্রহণ ক্ষমতাকে সম্মান করা একটি সুস্থ সমাজের লক্ষণ।,Respecting women’s decision-making ability is a sign of a healthy society.
Non Misogynistic,প্রত্যেক মেয়ের নিজের ভালো লাগার কাজ অনুসরণ করা উচিত,Every girl should follow the work she enjoys.
Stereotype,"যতই অস্বীকার করুক, যৌথ পরিবার ভেঙে পড়ার পেছনে বউদের বড় ভূমিকা।","No matter how much they deny it, wives play a major role in the breakdown of joint families."
Sexual Harassment,"শুধু পেটিকোট ও হাতকাটা ব্লাউজ পরতা, আমরা দেখে মনের জালা মিটাইতাম","If you only wore a petticoat and a sleeveless blouse, we could satisfy our desire by watching."
Derogation,মেয়েটার কথা বলার স্টাইল দেখলে লাগে বস্তি থেকে উঠে এসেছে,The girl’s way of speaking makes it seem like she came from a slum.
Sexual Harassment,ভাবি কীসের বিজ্ঞাপন দিচ্ছ? তোমার সাইজের নাকি,"Sister-in-law, what are you advertising? Your size?"
Sexual Harassment,আপুটি অল্প বয়সে বহু লিঙ্গের স্পর্শ পেয়ে গেছে,This apu has experienced the touch of many penises at a young age.
Derogation,এই মেয়ে যত যাই করুক ওরে প্রতিবন্ধী ই লাগে,"No matter what this girl does, she still looks disabled."
Sexual Harassment,এই মেয়েকে চেরির মতো মিষ্টি লাগবে চুষলে,This girl would taste sweet like a cherry if sucked.
Non Misogynistic,মেয়েটা খুব শান্তভাবে পরিস্থিতি সামলেছে,The girl handled the situation very calmly.
Sexual Harassment,এত সুন্দর চামড়া ভাড়া দিলেই তো দুবাই যাওয়া যায়,"With such beautiful skin, you could go to Dubai just by renting it out."
Sexual Harassment,"এত নাচলে দুধ ফেটে যাবে, সাবধান","If you dance so much, your breasts will burst; be careful."
Stereotype,"যতই অস্বীকার করুক, বাঙালি মেয়েদের বুদ্ধিদীপ্ত কথা যত কম, পরিবারে শান্তি তত বেশি।","No matter how much they deny it, the less intelligent talk Bengali women have, the more peace there is in the family."
Sexual Harassment,আপা জামাই যদি বাচ্চা হয় তবে জামাই কে দুদু খাওয়ান,"Apa, if your husband is a baby, then breastfeed him."
Non Misogynistic,নারী উদ্যোক্তারা অর্থনীতির অন্যতম স্তম্ভ,Women entrepreneurs are one of the pillars of the economy.
Stereotype,"মেয়েদের পরামর্শকে এত গুরুত্ব দেওয়া উচিত না, বেশি আবেগী এরা",Women’s advice should not be given so much importance; they are too emotional.
Sexual Harassment,"উফ, কোনো মেয়ে যদি এসে এখন জ্বালা নিভিয়ে দিয়ে যেত","Ugh, if only some girl would come and put out this burning desire right now."
Sexual Harassment,"আফা, এতো নাড়াইলে উর্বর পাহাড় দুইটা ধসে পরে যাবে!","Sister, if you shake them so much, those two fertile mountains will collapse!"
Stereotype,মেয়েরা রাজনৈতিক সভায় গেলে কেউ গুরুত্ব দিয়ে শোনে না,"When women go to political meetings, no one listens to them seriously."
Sexual Harassment,বুঝতে পেরেছি তোমার এখন দেহের বাজার ভালো,I understand that your body has good market value now.
Sexual Harassment,"এই মাগি, বিকিনি পরে নামলে আরো ভাইরাল হতে পারবি, না হলে কেউ দেখবে না","You bitch, if you come out wearing a bikini, you will go even more viral; otherwise, no one will watch you."
Sexual Harassment,মামণির দুধগুলো দেখে চোখ সরাতে পারছি না,I cannot take my eyes off Mamoni’s breasts.
Stereotype,"মেয়েরা খুব আবেগপ্রবণ, তাই বড় সিদ্ধান্ত নেওয়া তাদের জন্য কঠিন","Women are very emotional, so making big decisions is difficult for them."
Sexual Harassment,"বিয়ে করলে তো দেহ ব্যবসা করতে পারবেননা , ১০০ টা ছেলের সাথে শুইতেও পারবেন না","If you get married, you will not be able to do sex work or sleep with a hundred boys."
Non Misogynistic,কর্মক্ষেত্রে মেয়েদের অবদান দৃশ্যমান ও স্বীকৃত হওয়া দরকার।,Women’s contributions in the workplace need to be visible and recognized.
Stereotype,মেয়েরা সহকর্মীর সাফল্য দেখলে অস্বস্তি অনুভব করে,Women feel uncomfortable when they see a coworker’s success.
Stereotype,মেয়েদের পড়াশোনার চেয়ে রান্নাবান্না শিখলে জীবন কাজে লাগবে।,"Instead of studying, women’s lives would be more useful if they learned cooking."
Sexual Harassment,তোর ভোদা তে হাত দিলে আঙুল ভিজে যাবে নিশ্চয়,"If someone touches your pussy, their fingers will surely get wet."
Stereotype,মেয়ে জাতি অনেক স্বার্থপর । নিজের বেলায় ষোলো আনা অন্যের বেলাই চার আনা,Women are very selfish; they want everything for themselves and very little for others.
Stereotype,মেয়েরা নেকামিতে সবার আগে,Women are the first when it comes to acting coy.
Derogation,"বিশ লাখ টাকা স্যালারি, অথচ পরে আছে একটা ৩০০ টাকার থ্রি পিছ","A salary of twenty lakh taka, yet she is wearing a 300-taka three-piece outfit."
Derogation,এই মেয়ের চুল দেখলে মনে হয় বাসা থেকে ঝাড়ু চুরি করে মাথায় লাগিয়েছে,This girl’s hair looks like she stole a broom from home and put it on her head.
Sexual Harassment,মেয়েটার বুকের পাহাড় দুটো চুষলে স্বাদ কেমন হবে কে জানে,Who knows what it would taste like to suck those two mountains on the girl’s chest.
Derogation,এই মেয়ের পেট এত বড় যে দেখলে মনে হয় দুটো বাচ্চা আছে পেটের মধ্যে,This girl’s belly is so big that it looks like she has two babies inside.
Sexual Harassment,কাপড় চুপড় খুইলা ভিডিও করেন আর বৃষ্টিতে ভিজেন,"Take off your clothes, make videos, and get wet in the rain."
Derogation,তোদের মত মহিলারাই অন্যের সংসার ভাঙ্গে।,Women like you break other people’s families.
Derogation,তোর মতো মেয়ের কথায় ভরসা করা বোকামি।,It is foolish to trust the words of a girl like you.
Non Misogynistic,দিদির হাসি মুগ্ধতা ছড়িয়ে দেয়,Didi’s smile spreads charm.
Sexual Harassment,"তুই সুন্দর, কিন্তু পাবলিক খাবার, কত মানুষ যে মুখ দিছে","You are beautiful, but you are public food; who knows how many people have put their mouths on you."
Sexual Harassment,৫০ টাকা দিয়ে ও কেউ চোদবো না তোকে,No one would fuck you even for 50 taka.
Stereotype,মেয়েরা চাকরি করলে ঘর-অফিস কোনোটাই ঠিকমতো হয় না — এটাই বাস্তব।,"When women work, neither the home nor the office is managed properly — that is the reality."
Sexual Harassment,এইসব পোশাক পরে নিজেকে সুন্দর সাজিয়ে বাজারে চওড়া দামে বিক্রি হচ্ছে,"Wearing these clothes, she is making herself look beautiful and selling herself in the market at a high price."
Stereotype,মেয়েরা ডিব্রিফিং বা পোস্ট অ্যানালাইসিসে দুর্বল,Women are weak in debriefing or post-analysis.
Sexual Harassment,ইস রাতে যদি আপুটার সাথে খেলার সুযোগ পেতাম,I wish I had the chance to play with apu at night.
Sexual Harassment,দুধের ওজন এত বেশি যে আপু টা নাচতেই পারছে না,The breasts are so heavy that apu cannot even dance.
Derogation,এই মেয়েটার বয়স যত বাড়ছে ঢং তত বাড়ছে,"The older this girl gets, the more pretentious she becomes."
Non Misogynistic,মেয়েটি পরিবেশ পরিষ্কার রাখার কাজে জড়িত,The girl is involved in keeping the environment clean.
Sexual Harassment,এই তোমাকে খুব ভালো লাগছে চলো হোটেলে গিয়ে লাগাব তোমাকে,"Hey, I really like you; let’s go to a hotel and I’ll fuck you."
Non Misogynistic,মহিলাটি ছোটখাটো বিষয়েও দায়িত্বশীলতা দেখান,The woman shows responsibility even in small matters.
Sexual Harassment,এই মডেলকে ডগি স্টাইলে লাগাইতে চাই,I want to fuck this model in doggy style.
Derogation,জাহান্নামের প্রথম কাতারে থাকবে এই মেয়ে,This girl will be in the first row of hell.
Non Misogynistic,"মেয়েটার বড় বোন তার পথপ্রদর্শক, অনুপ্রেরণার উৎস।",The girl’s elder sister is her guide and source of inspiration.
Non Misogynistic,চাচি পরিবারের জন্য কখনো ক্লান্ত হন না,Auntie never gets tired for her family.
Derogation,মেয়েটার ড্রেসআপ দেখে মনে হচ্ছে বারের ভাড়া করা মেয়ে,"Looking at the girl’s dress-up, it seems like she is a rented girl from a bar."
Stereotype,"মেয়ে সন্তান মানেই বোঝা, ছেলে হলে বংশ রক্ষা হতো","Having a daughter means a burden; if it were a son, the family line would have been preserved."
Non Misogynistic,আপুর ধৈর্যশক্তি অসাধারণ,Apu’s patience is extraordinary.
Sexual Harassment,দিদির নাভির ভাজ দুলানো দেখে মাথা ঘুরে যাচ্ছে,Watching Didi’s navel folds move is making my head spin.
Sexual Harassment,"বৌদির দুধগুলো এত বড় কীভাবে, কতজন টিপেছে?",How did Boudi’s breasts get so big? How many people have squeezed them?
Stereotype,"বিজ্ঞান বিভাগে গেলে মেয়েদের মাথা ঘুরে যায়, যুগ যুগ ধরে এমন চলে আসছে।","When girls go into the science department, they get dizzy; this has been going on for ages."
Non Misogynistic,কর্মক্ষেত্রে মেয়েদের নেতৃত্বের সুযোগ দিলে প্রতিষ্ঠান আরও গতিশীল হয়।,Giving women leadership opportunities in the workplace makes an organization more dynamic.
Stereotype,মেয়েদের উচ্চস্বরে হাসা বেমানান   ,It is inappropriate for girls to laugh loudly.
Non Misogynistic,ম্যাম এর এই লেখাটা পড়ে মনের একটা জায়গা পরিষ্কার হলো,Reading this writing by ma’am cleared a place in my mind.
Non Misogynistic,মেয়েটার নজরুলগীতি গভীরভাবে অনুভূত হয়,The girl’s Nazrul song is deeply felt.
Stereotype,মেয়েরা একসাথে বসলেই বিচিং করে,"Whenever girls sit together, they start bitching."
Non Misogynistic,"এই থিয়েটার অভিনেত্রী মঞ্চে আগুন জ্বালিয়ে দেন, এতো সুন্দর পারফরমেন্স",This theater actress sets the stage on fire; such a beautiful performance.
Sexual Harassment,"এই আপু তোমার নিপল গুলা লাল কালারের খাড়া খাড়া, অনেক সুন্দর","Apu, your nipples are red and erect; they are very beautiful."
Sexual Harassment,বৌদিকে চুষলে রস বের হবে,"If Boudi is sucked, juice will come out."
Stereotype,বিবাহিত বেডাদের সাথে প্রেম করা মেয়েদের কাছে মনে হয় এখন নতুন ট্রেন্ড!,Dating married men seems to be a new trend among girls now!
Non Misogynistic,দিদির বুদ্ধিদীপ্ত নেতৃত্ব দলকে এগিয়ে নেয়,Didi’s intelligent leadership moves the team forward.
Non Misogynistic,যে মেয়েটা নিজের অধিকারের কথা জানায় বলে সে কখনো সুবিধাবঞ্চিত হয়নি।,The girl who speaks up for her rights has never been disadvantaged.
Sexual Harassment,মামুনিকে কতজন চেটেছে তার হিসাব কেউ রাখেনি,No one has kept count of how many people have licked Mamuni.
Stereotype,মেয়েরা সংসারের কোনো ব্যপারে নাক গলালে সংসারে অশান্তি লাগে।,"When women interfere in household matters, it creates unrest in the family."
Sexual Harassment,"ডাব দুইটা একেবারেই শুকিয়ে গিয়েছে ভিটামিনের অভাবে, আপু এসে একটু ভিটামিন দিবো","Those two coconuts have completely dried up due to a lack of vitamins; come, Apu, I will give you some vitamins."
Stereotype,মেয়েরা বেশি সেন্সিটিভ হওয়ায় কর্মক্ষেত্রে সমস্যা হয়,Women being too sensitive creates problems in the workplace.
Stereotype,"যেইসব মেয়েদের কাপড়ের ঠিক নেই, ওই মেয়েদের মুখে কথা বেমানান",It is inappropriate for girls whose clothes are not proper to speak up.
Non Misogynistic,"মেয়েটা একা বাড়ি নিয়েছে, নিজের স্বপ্নের জায়গায় থাকছে।",The girl has taken a house on her own and is living in the place of her dreams.
Sexual Harassment,"সুন্দরী বিছানায় আসো, কষ্ট কম টাকা বেশি","Beautiful, come to bed; less pain, more money."
Stereotype,মেয়েরা ডিবেটে ছেলেদের সামনে দুর্বল হয়ে পড়ে,Girls become weak in debates in front of boys.
Stereotype,মেয়েরা পরিবারের সম্মান না বুঝলে সব শেষ।,"If girls do not understand the family’s honor, everything is ruined."
Non Misogynistic,মেয়েটার ব্যক্তিত্ব ও দক্ষতা তাকে সবার কাছে স্মরণীয় করে তুলেছে।,The girl’s personality and skills have made her memorable to everyone.
Sexual Harassment,এই মেয়ে তোমার একটা নগ্ন ছবি দিবা আমাকে?দেখে একটু তৃষ্ণা মিটাইতাম,"Girl, will you give me a nude photo of yourself? I would satisfy my thirst by looking at it."
Stereotype,শ্বাশুড়ির সঙ্গে তর্ক করা মেয়ের সংসার বেশি দিন টেকে না।,A girl who argues with her mother-in-law does not have a lasting marriage.
Stereotype,"মেয়েদের বেশি পড়াশোনা করিয়ে লাভ নেই, শেষে তো সংসারই করবে","There is no benefit in educating girls too much; in the end, they will just manage the household."
Sexual Harassment,"নজর না দিলে তো তোমার পেটে ভাত আসবে না বোন, আসো না তোমাকে চুষে দেই","If no one pays attention to you, you will not have food in your stomach, sister; come, let me suck you."
Sexual Harassment,আপুর ব্লাউজটা ফেটে কখন বের হয় সেই অপেক্ষায় আছি,I am waiting for Apu’s blouse to burst open and for them to come out.
Sexual Harassment,আগের থেকে দুধের ফলোন ভালো হইছে,The breast yield has improved compared to before.
Non Misogynistic,মেয়েটার চোখের চাহনি আত্মবিশ্বাসী,The girl’s gaze is confident.
Non Misogynistic,নারীদের আইনি সহায়তা সহজলভ্য হওয়া দরকার,Legal assistance for women needs to be easily accessible.
Sexual Harassment,"যেই পরিমাণ পুরুষদের সাথে তুই রাত কাটাস, যদি কনডম না থাকতো ডেলি ডেলি বাচ্চা জন্ম দিতি","Considering the number of men you spend nights with, if condoms did not exist, you would be giving birth to babies every day."
Derogation,মেয়েটার চেহারা এতটাই বাজে যে আয়নাও লজ্জা পাবে।,The girl’s face is so bad that even a mirror would feel ashamed.
Derogation,"অসভ্য মহিলা। পরিবার থেকে কিছু শেখেনি, বাবা-মা মনে হয় অশিক্ষিত",Uncivilized woman. She learned nothing from her family; her parents seem uneducated.
Non Misogynistic,মেয়েটার বাবা তাকে বলেছেন ক্যারিয়ারে কোনো আপোস না করতে।,The girl’s father told her not to compromise on her career.
Non Misogynistic,প্রতিটি মেয়ে তার নিজস্ব মূল্য ও মর্যাদা বোঝে এবং সেটা অক্ষুণ্ণ রাখে।,Every girl understands her own value and dignity and preserves it.
Derogation,এই মেয়ে সার্টিফিকেট কিনেছে জ্ঞান কিনতে পারেনি,This girl bought a certificate but could not buy knowledge.
Non Misogynistic,মেয়েদের পেশা বেছে নেওয়ার পূর্ণ স্বাধীনতা থাকা উচিত,Women should have full freedom to choose their profession.
Sexual Harassment,"মহিলার সেক্স উঠে গেছে মনে হচ্ছে, এতো নড়াচ্ছে কেনো?",It seems the woman is sexually aroused; why is she moving so much?
Derogation,এই মেয়েটা হাঁটে কিভাবে দেখলে হাসি চাপা রাখা যায় না,Watching how this girl walks makes it impossible to hold back laughter.
Non Misogynistic,মেয়েটার মধ্যে একটা বাঙালিয়ানা ভাব আছে,There is a Bengali cultural vibe in the girl.
Sexual Harassment,"ম্যাডাম, আরেকটু খুলে দেখান তাহলে উপর নিচ সব দেখতে পেতাম","Madam, show a little more open; then I could see everything from top to bottom."
Derogation,"তোরে দেখে ফিল আসে না, অতিরিক্ত মেদ শরীরে",I do not feel attracted to you; your body has too much fat.
Stereotype,"অফিসগামী মেয়েরা একদমই অল্পতেই ব্যক্তিগত আক্রমণ ধরে নেয়, স্বীকার করুক বা না করুক।","Office-going women take even the smallest things as personal attacks, whether they admit it or not."
Sexual Harassment,"নর্তকী দেখতে একটা কড়া মাল, খেলে আরো মজা পেতাম",The dancer looks like a strong piece; it would have been even more fun to have her.
Non Misogynistic,"একা হয়নিকো জয়ী পুরুষের তরবারি, শক্তি দিয়েছে সাহস দিয়েছে বিজয় লক্ষী নারী।","The victorious man’s sword did not win alone; Victory Lakshmi, the woman, gave strength and courage."
Stereotype,"অভিজ্ঞতা বলে, মহিলাদের সফলতা পরিবারের পুরুষের ছায়া ছাড়া সম্ভব না, স্বীকার করুক বা না করুক।","Experience says that women’s success is not possible without the shadow of the men in their families, whether they admit it or not."
Non Misogynistic,নারীদের গবেষণায় উৎসাহ দেওয়া উচিত,Women should be encouraged in research.
Sexual Harassment,"ভাবি মডেলিং করে না, ছেলেদের দুধ দেখায়",Sister-in-law does not do modeling; she shows her breasts to boys.
Non Misogynistic,মেয়েদের মতামত পরিকল্পনায় অন্তর্ভুক্ত করা দরকার,Women’s opinions need to be included in planning.
Stereotype,মেয়ে মানুষের বুদ্ধি হাঁটুর নিচেই থাকে,A woman’s intelligence stays below her knees.
Sexual Harassment,এক দেহ ব্যবসায়ী আরেক দেহ ব্যবসায়ী কে চবক দিচ্ছে,One sex worker is slapping another sex worker.
Sexual Harassment,তোমার হট শরীর দেখে আমার গা পুড়ে যাচ্ছে,Seeing your hot body is making my body burn.
Derogation,মেয়েটার মাথার চুল দেখে মনে হয় পাখির বাসা বানানো আছে সেখানে,"Looking at the girl’s hair, it seems like a bird’s nest has been built there."
Sexual Harassment,"বৌদির জামাই ভালো টিপতে পারে না, তাই ছেলে খুঁজে নিচ্ছে","Boudi’s husband cannot squeeze properly, so she is looking for a boy."
Derogation,এই বেডি সিনিয়রদের তোষামোদ করে পদোন্নতি পেয়েছে।,This woman got promoted by flattering seniors.
Stereotype,"যতই অস্বীকার করুক, বেশিরভাগ মেয়ের কণ্ঠস্বর বাইরে যত নিচু, ব্যক্তিত্ব তত উঁচু।","No matter how much they deny it, for most girls, the lower their voice is outside, the higher their personality is."
Non Misogynistic,নারীরা দেশের অগ্রগতির অবিচ্ছেদ্য অংশ,Women are an inseparable part of the country’s progress.
Sexual Harassment,উর্বর দুটি পাহাড় যে করিবে আহার সৌভাগ্য তো তাহার,Whoever gets to enjoy those two fertile mountains is truly fortunate.
Derogation,মেয়েটার চুলের অবস্থা দেখলে মনে হয় কবে শেষবার চিরুনি দিয়েছে মনে নেই,"Looking at the girl’s hair condition, it seems she does not remember the last time she used a comb."
Stereotype,"তুই মেয়ে, তুই আস্তে হাসবি",You are a girl; you should laugh softly.
Sexual Harassment,বুক তো নয় যেনো বোমা,Those are not breasts; they are like bombs.
Sexual Harassment,মেয়েটা এত কচি বয়সে দুধ গুলো এত বড় কীভাবে?,How did this girl’s breasts become so big at such a young age?
Derogation,দেখতে ঠিক আমার কাজের মেয়ে জরিনা মতো,She looks exactly like my housemaid Jarina.
Derogation,মেয়েটার হাঁটার স্টাইল দেখলে মনে হয় পায়ে চাকা লাগানো আছে,"Looking at the girl’s walking style, it seems like wheels are attached to her feet."
Stereotype,অন্যকিছু গুছানো না জানলেও মেয়েদের ঘর গুছানো জানতে হয় অন্তত,"Even if women do not know how to organize anything else, they must at least know how to organize the house."
Derogation,কুকুর ও সুন্দর এই মেয়ের চেয়ে,Even a dog is more beautiful than this girl.
Sexual Harassment,দর্শক চিন্তা কইরেন না খুব শীঘ্রই ল্যাংটা হবে এই মহিলা,"Viewers, do not worry; this woman will be naked very soon."
Stereotype,মেয়েরা উদ্যোক্তা হলে বেশিরভাগই ফেল করে,"When women become entrepreneurs, most of them fail."
Derogation,যতই সোনা মুখ নিয়ে জন্ম নিক না কেন নর্তকি নর্তকিই থাকে,"No matter how beautiful a face she is born with, a dancer remains a dancer."
Non Misogynistic,প্রতিটি মেয়ে তার নিজস্ব মানসিক শক্তি ও সাহসের উৎস।,Every girl is a source of her own mental strength and courage.
Stereotype,মহিলা ক্রিকেটার দেখার কী আছে? আসল ক্রিকেট তো ছেলেরাই খেলে,What is there to watch in women cricketers? Real cricket is played by men.
Non Misogynistic,মেয়েদের অনলাইন নিরাপত্তা নিশ্চিত করা দরকার,Women’s online safety needs to be ensured.
Stereotype,মেয়েদের সোশ্যাল মিডিয়া প্রোফাইল দেখলেই চরিত্র বোঝা যায়,A girl’s character can be understood just by looking at her social media profile.
Sexual Harassment,ভাবির নাভিটা দুলানো দেখে মাথা ঘুরে যাচ্ছে,Watching sister-in-law’s navel move is making my head spin.
Sexual Harassment,"মামুনি হট ছবি পাঠাও ইনবক্সে, নাহলে তোমার নাম পোস্ট করে দেব","Mamuni, send hot photos to my inbox, otherwise I will post your name."
Non Misogynistic,মেয়েদের অর্থনৈতিক স্বাধীনতা সুনিশ্চিত করলে সামাজিক বৈষম্য কমবে।,Ensuring women’s economic independence will reduce social inequality.
